"variable","value","country"
"total fruit",122.46984,"USA"
"citrus, melons, berries",0.18,"USA"
"other fruit",0.45,"USA"
"fruit juice",42.0990075,"USA"
"total vegetables",114.815475,"USA"
"total starchy",44.6504625,"USA"
"potatoes",0.3,"USA"
"other starchy",0.05,"USA"
"total red and orange",0.26,"USA"
"tomatoes",0.2,"USA"
"other red and orange",0.06,"USA"
"dark green",0.06,"USA"
"other",0.22,"USA"
"total grains",191.359125,"USA"
"whole grains",0.87,"USA"
"refined grains",5.88,"USA"
"total protein foods",4.15,"USA"
"total meat, poultry, and seafood",3.3,"USA"
"meat",62.652395,"USA"
"poultry",1.16,"USA"
"cured meat",0.86,"USA"
"seafood low n-3",0.17,"USA"
"seafood high n-3",0.06,"USA"
"organ meat",NA,"USA"
"eggs",10.77281,"USA"
"nuts and seeds",11.623295,"USA"
"soybean products",1.417475,"USA"
"oil",22.93,"USA"
"solid fats",33.72,"USA"
"added sugars",67.41,"USA"
"alcoholic drinks",0.02,"USA"
"total dairy",247.491135,"USA"
"fluid milk",1.11,"USA"
"cheese",0.76,"USA"
"yoghurt",0.05,"USA"
"seafood",6.520385,"USA"
"added sugars",11.68125,"South Korea"
"alcoholic drinks",1.99625,"South Korea"
"condiments",21.72625,"South Korea"
"eggs",28.185,"South Korea"
"fruit juice",106.85875,"South Korea"
"meat",369.76125,"South Korea"
"meat-based fats",0.23625,"South Korea"
"meat-based intake ratio(%)",36.37875,"South Korea"
"nuts and seeds",2.6425,"South Korea"
"plant-based fats",5.25375,"South Korea"
"plant-based intake ratio(%)",63.62125,"South Korea"
"seafood",58.24125,"South Korea"
"soybean products",24.41,"South Korea"
"total dairy",210.75875,"South Korea"
"total fruit",125.19875,"South Korea"
"total grains",240.155,"South Korea"
"total plant-based",418.19375,"South Korea"
"total starchy",24.86875,"South Korea"
"total vegetables",119.845,"South Korea"
"solid fats",5.49,"South Korea"
"added sugars",5.09333333333333,"Japan"
"condiments",69.6566666666667,"Japan"
"eggs",33.32,"Japan"
"fruit juice",314.896666666667,"Japan"
"meat",108.603333333333,"Japan"
"nuts and seeds",1.61,"Japan"
"seafood",40.8566666666667,"Japan"
"snacks",32.4166666666667,"Japan"
"soybean products",39.8733333333333,"Japan"
"total dairy",212.786666666667,"Japan"
"solid fats",10.3166666666667,"Japan"
"total fruit",82.9566666666667,"Japan"
"total grains",409.233333333333,"Japan"
"total starchy",50.3166666666667,"Japan"
"total vegetables",208.193333333333,"Japan"
